node,t,T,H,x,y
3,66,16.37,47.26,14.32796779577396,16.586100000000236
3,67,16.71,46.69,14.32796779577396,16.586100000000236
3,68,17.86,46.46,14.32796779577396,16.586100000000236
3,69,19.47,42.01,14.32796779577396,16.586100000000236
3,70,20.69,40.39,14.32796779577396,16.586100000000236
3,71,21.14,42.32,14.32796779577396,16.586100000000236
3,72,19.45,47.41,14.32796779577396,16.586100000000236
3,73,19.46,50.08,14.32796779577396,16.586100000000236
3,74,19.81,45.82,14.32796779577396,16.586100000000236
3,75,20.47,36.42,14.32796779577396,16.586100000000236
3,76,21.41,37.24,14.32796779577396,16.586100000000236
3,77,22.4,38.16,14.32796779577396,16.586100000000236
3,78,22.68,40.4,14.32796779577396,16.586100000000236
3,79,23.72,38.56,14.32796779577396,16.586100000000236
3,80,23.3,39.15,14.32796779577396,16.586100000000236
3,81,23.68,45.03,14.32796779577396,16.586100000000236
3,82,24.56,42.16,14.32796779577396,16.586100000000236
3,83,23.53,38.48,14.32796779577396,16.586100000000236
3,84,23.69,39.62,14.32796779577396,16.586100000000236
3,85,25.78,39.12,14.32796779577396,16.586100000000236
3,86,25.86,41.47,14.32796779577396,16.586100000000236
3,87,26.37,48.28,14.32796779577396,16.586100000000236
3,88,27.47,50.42,14.32796779577396,16.586100000000236
3,89,26.19,54.52,14.32796779577396,16.586100000000236
3,90,25.7,42.06,14.32796779577396,16.586100000000236
3,91,22.85,45.83,14.32796779577396,16.586100000000236
3,92,23.9,39.76,14.32796779577396,16.586100000000236
3,93,26.82,34.12,14.32796779577396,16.586100000000236
3,94,25.91,33.38,14.32796779577396,16.586100000000236
3,95,25.48,34.41,14.32796779577396,16.586100000000236
3,96,24.86,32.67,14.32796779577396,16.586100000000236
3,97,25.75,30.62,14.32796779577396,16.586100000000236
3,98,26.43,29.37,14.32796779577396,16.586100000000236
3,99,26.94,28.28,14.32796779577396,16.586100000000236
3,100,27.38,29.3,14.32796779577396,16.586100000000236
3,101,28.1,31.42,14.32796779577396,16.586100000000236
3,102,28.62,31.12,14.32796779577396,16.586100000000236
3,103,29.1,34.89,14.32796779577396,16.586100000000236
3,104,25.06,52.77,14.32796779577396,16.586100000000236
3,105,27.73,46.43,14.32796779577396,16.586100000000236
3,106,27.7,43.57,14.32796779577396,16.586100000000236
3,107,25.98,40.25,14.32796779577396,16.586100000000236
3,108,28.55,33.03,14.32796779577396,16.586100000000236
3,109,29.1,34.65,14.32796779577396,16.586100000000236
3,110,27.0,42.64,14.32796779577396,16.586100000000236
3,111,28.24,39.07,14.32796779577396,16.586100000000236
3,112,28.38,34.81,14.32796779577396,16.586100000000236
3,113,28.62,33.44,14.32796779577396,16.586100000000236
3,114,28.09,34.95,14.32796779577396,16.586100000000236
3,115,29.74,32.99,14.32796779577396,16.586100000000236
3,116,31.12,28.93,14.32796779577396,16.586100000000236
3,117,29.35,38.05,14.32796779577396,16.586100000000236
3,118,28.67,37.74,14.32796779577396,16.586100000000236
3,119,25.18,49.2,14.32796779577396,16.586100000000236
3,120,26.58,38.02,14.32796779577396,16.586100000000236
3,121,23.93,38.43,14.32796779577396,16.586100000000236
4,0,11.82,65.78,19.103957061031494,22.114800000000315
4,1,11.26,64.19,19.103957061031494,22.114800000000315
4,2,13.13,51.39,19.103957061031494,22.114800000000315
4,3,12.45,50.52,19.103957061031494,22.114800000000315
4,4,12.36,52.52,19.103957061031494,22.114800000000315
4,5,11.33,56.08,19.103957061031494,22.114800000000315
4,6,11.75,56.02,19.103957061031494,22.114800000000315
4,7,12.68,51.13,19.103957061031494,22.114800000000315
4,8,12.07,56.51,19.103957061031494,22.114800000000315
4,9,10.35,62.5,19.103957061031494,22.114800000000315
4,10,10.05,59.46,19.103957061031494,22.114800000000315
4,11,10.84,56.28,19.103957061031494,22.114800000000315
4,12,12.71,49.98,19.103957061031494,22.114800000000315
4,13,10.86,51.55,19.103957061031494,22.114800000000315
4,14,11.36,48.53,19.103957061031494,22.114800000000315
4,15,12.98,44.96,19.103957061031494,22.114800000000315
4,16,12.66,51.74,19.103957061031494,22.114800000000315
4,17,12.31,57.8,19.103957061031494,22.114800000000315
4,18,13.06,54.36,19.103957061031494,22.114800000000315
